metric,value
baseline_path,final_dataset_merged_no_commit_cap
baseline_commit_count,2570
baseline_change_count,6586
new_raw_candidate_commit_count,0
new_raw_candidate_change_count,0
combined_raw_change_count,6586
combined_cleaned_change_count,6586
duplicate_change_count,0
empty_commit_removed_count,0
format_only_removed_count,0
weak_issue_unresolved_count,0
entity_type_review_count,0
invalid_change_count,0
final_commit_count,2570
final_total_change_count,6586
final_method_change_count,4545
final_class_change_count,2041
commits_with_one_change,1853
commits_with_multiple_changes,717
average_changes_per_commit,2.5626
median_changes_per_commit,1.0
max_changes_in_one_commit,111
per_project_commit_count,"{""apache_commons_codec"": 31, ""apache_commons_collections"": 50, ""apache_commons_compress"": 126, ""apache_commons_io"": 128, ""apache_commons_lang"": 32, ""apache_commons_math"": 323, ""apache_commons_text"": 24, ""apache_lucene"": 1121, ""fasterxml_jackson_databind"": 164, ""google_guava"": 210, ""jodaorg_joda_time"": 89, ""junit_team_junit5"": 138, ""spring_projects_spring_data_commons"": 134}"
per_project_change_count,"{""apache_commons_codec"": 71, ""apache_commons_collections"": 120, ""apache_commons_compress"": 297, ""apache_commons_io"": 334, ""apache_commons_lang"": 38, ""apache_commons_math"": 1871, ""apache_commons_text"": 37, ""apache_lucene"": 2368, ""fasterxml_jackson_databind"": 258, ""google_guava"": 482, ""jodaorg_joda_time"": 255, ""junit_team_junit5"": 210, ""spring_projects_spring_data_commons"": 245}"
validation,"{""change_count"": 6586, ""commit_count"": 2570, ""errors"": {}, ""passed"": true}"
