project_slug,repository_url,scanned_commit_count,retained_commit_count,retained_change_count,yield_per_1000_scanned_commits,scan_status,stop_reason
google_gson,https://github.com/google/gson.git,2197,33,61,15.0205,completed,full_history_scanned
mockito_mockito,https://github.com/mockito/mockito.git,6343,29,49,4.572,completed,full_history_scanned
assertj_assertj,https://github.com/assertj/assertj.git,6171,86,144,13.9362,completed,full_history_scanned
ben_manes_caffeine,https://github.com/ben-manes/caffeine.git,2600,51,63,19.6154,completed,full_history_scanned
reactivex_rxjava,https://github.com/ReactiveX/RxJava.git,6435,58,105,9.0132,completed,full_history_scanned
reactor_reactor_core,https://github.com/reactor/reactor-core.git,5291,118,320,22.302,completed,full_history_scanned
openfeign_feign,https://github.com/OpenFeign/feign.git,3173,26,36,8.1941,completed,full_history_scanned
fasterxml_jackson_core,https://github.com/FasterXML/jackson-core.git,5204,53,182,10.1845,completed,full_history_scanned
fasterxml_jackson_annotations,https://github.com/FasterXML/jackson-annotations.git,1073,4,4,3.7279,completed,full_history_scanned
fasterxml_jackson_modules_java8,https://github.com/FasterXML/jackson-modules-java8.git,903,1,1,1.1074,completed,full_history_scanned
fasterxml_jackson_dataformats_text,https://github.com/FasterXML/jackson-dataformats-text.git,2116,3,5,1.4178,completed,full_history_scanned
grpc_grpc_java,https://github.com/grpc/grpc-java.git,7157,175,222,24.4516,completed,full_history_scanned
tng_archunit,https://github.com/TNG/ArchUnit.git,2630,14,15,5.3232,completed,full_history_scanned
netty_netty,https://github.com/netty/netty.git,14253,172,369,12.0676,completed,full_history_scanned
eclipse_collections_eclipse_collections,https://github.com/eclipse-collections/eclipse-collections.git,2706,4,7,1.4782,completed,full_history_scanned
micrometer_metrics_micrometer,https://github.com/micrometer-metrics/micrometer.git,5000,12,15,2.4,stopped,low_yield
junit_team_junit_framework,https://github.com/junit-team/junit-framework.git,6693,2,3,0.2988,stopped,low_yield
spring_projects_spring_data_commons,https://github.com/spring-projects/spring-data-commons.git,0,0,0,0,skipped,already_completed:final_dataset_extra_3k
jodaorg_joda_time,https://github.com/JodaOrg/joda-time.git,0,0,0,0,skipped,already_completed:final_dataset
google_guava,https://github.com/google/guava.git,0,0,0,0,skipped,already_completed:final_dataset
spring_projects_spring_framework,https://github.com/spring-projects/spring-framework.git,35146,1273,2154,36.2203,completed,full_history_scanned
mapstruct_mapstruct,https://github.com/mapstruct/mapstruct.git,1870,24,25,12.8342,completed,full_history_scanned
