project_slug,repository_url,batch_index,commits_scanned,cumulative_commits_scanned,raw_candidate_commits,raw_candidate_changes,retained_commits_before_global_dedup,retained_commits_after_global_dedup,retained_changes_before_global_dedup,retained_changes_after_global_dedup,method_level_changes,class_level_changes,commits_with_multiple_changes,duplicate_changes_removed,empty_commits_removed,format_only_rejection_count,weak_issue_detected,weak_issue_resolved,weak_issue_unresolved,java_parse_success_count,java_parse_failure_count,issue_summary_success_rate,java_parse_success_rate,yield_per_1000_scanned_commits,oldest_commit,newest_commit,scan_status,stop_reason
junit_team_junit_framework,https://github.com/junit-team/junit-framework.git,1,1000,1000,9,12,9,2,12,3,6,6,2,9,7,0,0,0,0,493,0,1.0,1.0,9.0,48b1c9373fdfa03be2fbd96c6ed59e23678151d7,3bf7fd47707865c3fb50a560adfd71f5038b4c52,partial,
junit_team_junit_framework,https://github.com/junit-team/junit-framework.git,2,1000,2000,21,30,21,2,30,3,9,21,4,27,19,0,4,0,4,1568,0,0.0,1.0,10.5,0a552398fa6a87ec1a492b4b023ab7f6367618e7,3bf7fd47707865c3fb50a560adfd71f5038b4c52,partial,
mockito_mockito,https://github.com/mockito/mockito.git,1,1000,1000,2,2,2,2,2,2,0,2,0,32,24,0,4,0,4,628,0,0.0,1.0,2.0,4a40f582397c40fbce587af3e2f1e16583228e5e,4ff92d9a63aed424e9d3d958b9fc3ce5a17948d4,partial,
google_gson,https://github.com/google/gson.git,1,1000,1000,22,45,20,20,42,42,36,6,5,32,24,0,12,0,12,654,0,0.0,1.0,20.0,6f15cd0060dfed248eae0219d35f20d89022972c,004e7a4949e08b430e3c8996998ee5a17ff9423a,partial,
mockito_mockito,https://github.com/mockito/mockito.git,2,1000,2000,11,22,11,11,22,22,11,11,3,32,24,0,9,0,9,1851,0,0.0,1.0,5.5,2ae805f1cb4fed6d9095e101d1928eb9639ce56c,4ff92d9a63aed424e9d3d958b9fc3ce5a17948d4,partial,
google_gson,https://github.com/google/gson.git,2,1000,2000,35,64,33,33,61,61,46,15,6,32,24,0,19,0,19,2088,0,0.0,1.0,16.5,82974376103243addbedd1eb034ca46e2db47046,004e7a4949e08b430e3c8996998ee5a17ff9423a,partial,
mockito_mockito,https://github.com/mockito/mockito.git,3,1000,3000,21,39,21,21,39,39,15,24,6,32,24,0,14,0,14,2476,0,0.0,1.0,7.0,690472d1250c5808ab057ed1dcd5f7778296a5fb,4ff92d9a63aed424e9d3d958b9fc3ce5a17948d4,partial,
google_gson,https://github.com/google/gson.git,3,197,2197,35,64,33,33,61,61,46,15,6,32,24,0,20,0,20,2315,0,0.0,1.0,15.0205,57d1f32de5bf3a7dd54613384cc7e979fba2660b,004e7a4949e08b430e3c8996998ee5a17ff9423a,completed,full_history_scanned
mockito_mockito,https://github.com/mockito/mockito.git,4,1000,4000,30,50,30,29,50,49,17,33,7,33,25,0,20,0,20,2867,0,0.0,1.0,7.5,8ab87f46e793fbf5d2960807993568a9e4255b7a,4ff92d9a63aed424e9d3d958b9fc3ce5a17948d4,partial,
mockito_mockito,https://github.com/mockito/mockito.git,5,1000,5000,30,50,30,29,50,49,17,33,7,33,25,0,34,0,34,2876,0,0.0,1.0,6.0,fcb244157a0c14d15f291564a6b95f6f65ce1dfd,4ff92d9a63aed424e9d3d958b9fc3ce5a17948d4,partial,
